Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Hectare,Terrestrial and freshwater areas covered by protected areas,,,,13981178.42
2025,Hectare,Terrestrial and freshwater areas covered by protected areas,,,,13981178.42
2010,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,33.534
2011,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,33.821
2012,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,34.2
2013,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,34.488
2014,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,34.718
2015,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,34.877
2016,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,35.764
2017,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,36.093
2018,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,36.524
2019,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,37.249
2020,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,37.699
2021,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,38.532
2022,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,38.83
2023,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,39.103
2024,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,39.103
2025,Percentage,Terrestrial and freshwater areas covered by protected areas,,,,39.103
2010,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5073330.891
2011,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5077517.621
2012,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5084611.615
2013,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5092364.265
2014,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5103388.996
2015,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5113176.324
2016,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5119259.883
2017,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5123738.786
2018,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5131461.825
2019,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5137065.522
2020,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5144943.131
2021,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5150068.609
2022,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5151276.808
2023,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5152542.409
2024,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5152542.409
2025,Hectare,Terrestrial and freshwater areas covered by effective protected areas,,,,5152542.409
2010,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.189
2011,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.201
2012,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.221
2013,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.243
2014,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.273
2015,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.301
2016,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.318
2017,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.33
2018,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.352
2019,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.368
2020,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.39
2021,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.404
2022,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.407
2023,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.411
2024,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.411
2025,Percentage,Terrestrial and freshwater areas covered by effective protected areas,,,,14.411
