Year,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2014,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2015,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2016,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2017,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2018,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2019,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> employees,
2020,accommodation for visitors: hotels and similar establishments,,,,<u>additional time series:</u> employees,387316.0
2021,accommodation for visitors: hotels and similar establishments,,,,<u>additional time series:</u> employees,412861.0
2022,accommodation for visitors: hotels and similar establishments,,,,<u>additional time series:</u> employees,447744.0
2023,accommodation for visitors: hotels and similar establishments,,,,<u>additional time series:</u> employees,451432.0
2010,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2011,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2012,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2013,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2014,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2015,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2016,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2017,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2018,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2019,accommodation for visitors: other,.,,,<u>additional time series:</u> employees,
2020,accommodation for visitors: other,,,,<u>additional time series:</u> employees,333052.0
2021,accommodation for visitors: other,,,,<u>additional time series:</u> employees,474192.0
2022,accommodation for visitors: other,,,,<u>additional time series:</u> employees,474307.0
2023,accommodation for visitors: other,,,,<u>additional time series:</u> employees,471128.0
2010,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2011,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2012,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2013,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2014,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2015,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2016,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2017,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2018,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2019,food and beverage serving activities,.,,,<u>additional time series:</u> employees,
2020,food and beverage serving activities,,,,<u>additional time series:</u> employees,1147866.0
2021,food and beverage serving activities,,,,<u>additional time series:</u> employees,1281136.0
2022,food and beverage serving activities,,,,<u>additional time series:</u> employees,1338977.0
2023,food and beverage serving activities,,,,<u>additional time series:</u> employees,1363796.0
2022,railway passenger transport,,,,<u>additional time series:</u> employees,25202.0
2023,railway passenger transport,,,,<u>additional time series:</u> employees,25719.0
2010,road passenger transport,.,,,<u>additional time series:</u> employees,
2011,road passenger transport,.,,,<u>additional time series:</u> employees,
2012,road passenger transport,.,,,<u>additional time series:</u> employees,
2013,road passenger transport,.,,,<u>additional time series:</u> employees,
2014,road passenger transport,.,,,<u>additional time series:</u> employees,
2015,road passenger transport,.,,,<u>additional time series:</u> employees,
2016,road passenger transport,.,,,<u>additional time series:</u> employees,
2017,road passenger transport,.,,,<u>additional time series:</u> employees,
2018,road passenger transport,.,,,<u>additional time series:</u> employees,
2019,road passenger transport,.,,,<u>additional time series:</u> employees,
2020,road passenger transport,,,,<u>additional time series:</u> employees,141037.0
2021,road passenger transport,,,,<u>additional time series:</u> employees,164689.0
2022,road passenger transport,,,,<u>additional time series:</u> employees,171881.0
2023,road passenger transport,,,,<u>additional time series:</u> employees,182026.0
2010,water passenger transport,.,,,<u>additional time series:</u> employees,
2011,water passenger transport,.,,,<u>additional time series:</u> employees,
2012,water passenger transport,.,,,<u>additional time series:</u> employees,
2013,water passenger transport,.,,,<u>additional time series:</u> employees,
2014,water passenger transport,.,,,<u>additional time series:</u> employees,
2015,water passenger transport,.,,,<u>additional time series:</u> employees,
2016,water passenger transport,.,,,<u>additional time series:</u> employees,
2017,water passenger transport,.,,,<u>additional time series:</u> employees,
2018,water passenger transport,.,,,<u>additional time series:</u> employees,
2019,water passenger transport,.,,,<u>additional time series:</u> employees,
2020,water passenger transport,,,,<u>additional time series:</u> employees,8137.0
2021,water passenger transport,,,,<u>additional time series:</u> employees,8254.0
2022,water passenger transport,,,,<u>additional time series:</u> employees,8710.0
2023,water passenger transport,,,,<u>additional time series:</u> employees,8480.0
2010,air passenger transport,.,,,<u>additional time series:</u> employees,
2011,air passenger transport,.,,,<u>additional time series:</u> employees,
2012,air passenger transport,.,,,<u>additional time series:</u> employees,
2013,air passenger transport,.,,,<u>additional time series:</u> employees,
2014,air passenger transport,.,,,<u>additional time series:</u> employees,
2015,air passenger transport,.,,,<u>additional time series:</u> employees,
2016,air passenger transport,.,,,<u>additional time series:</u> employees,
2017,air passenger transport,.,,,<u>additional time series:</u> employees,
2018,air passenger transport,.,,,<u>additional time series:</u> employees,
2019,air passenger transport,.,,,<u>additional time series:</u> employees,
2020,air passenger transport,,,,<u>additional time series:</u> employees,57763.0
2021,air passenger transport,,,,<u>additional time series:</u> employees,53976.0
2022,air passenger transport,,,,<u>additional time series:</u> employees,52214.0
2023,air passenger transport,,,,<u>additional time series:</u> employees,56268.0
2010,transport equipment rental,.,,,<u>additional time series:</u> employees,
2011,transport equipment rental,.,,,<u>additional time series:</u> employees,
2012,transport equipment rental,.,,,<u>additional time series:</u> employees,
2013,transport equipment rental,.,,,<u>additional time series:</u> employees,
2014,transport equipment rental,.,,,<u>additional time series:</u> employees,
2015,transport equipment rental,.,,,<u>additional time series:</u> employees,
2016,transport equipment rental,.,,,<u>additional time series:</u> employees,
2017,transport equipment rental,.,,,<u>additional time series:</u> employees,
2018,transport equipment rental,.,,,<u>additional time series:</u> employees,
2019,transport equipment rental,.,,,<u>additional time series:</u> employees,
2020,transport equipment rental,,,,<u>additional time series:</u> employees,30207.0
