Year,Art der Gewalt,Geschlecht,Altersklasse,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,c) Sexuelle Gewalt,Männlich,,,,.,,,
2015,c) Sexuelle Gewalt,Männlich,,,,.,,,
2016,c) Sexuelle Gewalt,Männlich,,,,.,,,
2017,c) Sexuelle Gewalt,Männlich,,,,.,,,
2018,c) Sexuelle Gewalt,Männlich,,,,.,,,
2019,c) Sexuelle Gewalt,Männlich,,,,.,,,
2020,c) Sexuelle Gewalt,Männlich,,,,,,,12.6
2021,c) Sexuelle Gewalt,Männlich,,,,…,,,
2022,c) Sexuelle Gewalt,Männlich,,,,…,,,
2023,c) Sexuelle Gewalt,Männlich,,,,…,,,
2024,c) Sexuelle Gewalt,Männlich,,,,…,,,
2010,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2011,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2012,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2013,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2014,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2015,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2016,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2017,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2018,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2019,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,.,,,
2020,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,,,1.8
2021,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,…,,,
2022,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,…,,,
2023,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,…,,,
2024,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,…,,,
2010,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2011,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2012,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2013,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2014,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2015,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2016,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2017,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2018,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2019,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,.,,,
2020,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,,,1.4
2021,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,…,,,
2022,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,…,,,
2023,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,…,,,
2024,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,…,,,
2010,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2011,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2012,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2013,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2014,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2015,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2016,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2017,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2018,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2019,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,.,,,
2020,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,,,5.6
2021,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,…,,,
2022,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,…,,,
2023,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,…,,,
2024,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,…,,,
2010,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2011,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2012,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2013,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2014,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2015,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2016,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2017,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2018,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2019,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,.,,,
2020,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,,,1.9
2021,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,…,,,
2022,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,…,,,
2023,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,…,,,
2024,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,…,,,
2010,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2011,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2012,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2013,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2014,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2015,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2016,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2017,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2018,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2019,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,.,,,
2020,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,,,0.6
2021,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,…,,,
2022,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,…,,,
2023,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,…,,,
2024,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,…,,,
2010,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2011,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2012,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2013,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2014,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2015,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2016,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2017,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2018,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2019,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2020,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,.,,,
2021,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,…,,,
2022,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,…,,,
2023,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,…,,,
2024,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,…,,,
2010,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2011,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2012,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2013,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2014,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2015,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2016,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2017,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2018,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2019,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2020,c) Sexuelle Gewalt,,75 Jahre und älter,,,.,,,
2021,c) Sexuelle Gewalt,,75 Jahre und älter,,,…,,,
2022,c) Sexuelle Gewalt,,75 Jahre und älter,,,…,,,
2023,c) Sexuelle Gewalt,,75 Jahre und älter,,,…,,,
2024,c) Sexuelle Gewalt,,75 Jahre und älter,,,…,,,
2010,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2013,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2018,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,,,,2.2
2021,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2022,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2023,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2024,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,,,,2.6
2010,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2013,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2018,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,,,,1.8
2021,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2022,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2023,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,.,,,
2024,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,,,,3.8
2010,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2013,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2018,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,,,,12.6
2021,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2022,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2023,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,.,,,
2024,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,,,,15.6
