Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,number,non-sexual harassment,14 to under 18 years,male,,,,117.0
2020,number,non-sexual harassment,14 to under 18 years,male,,,,127.0
2021,number,non-sexual harassment,14 to under 18 years,male,,,,131.0
2022,number,non-sexual harassment,14 to under 18 years,male,,,,136.0
2023,number,non-sexual harassment,14 to under 18 years,male,,,,142.0
2024,number,non-sexual harassment,14 to under 18 years,male,,,,199.0
2025,number,non-sexual harassment,14 to under 18 years,male,,,,180.0
2010,number,non-sexual harassment,18 to under 21 years,,,,,2467.0
2011,number,non-sexual harassment,18 to under 21 years,,,,,2202.0
2012,number,non-sexual harassment,18 to under 21 years,,,,,2036.0
2013,number,non-sexual harassment,18 to under 21 years,,,,,1769.0
2014,number,non-sexual harassment,18 to under 21 years,,,,,1654.0
2015,number,non-sexual harassment,18 to under 21 years,,,,,1402.0
2016,number,non-sexual harassment,18 to under 21 years,,,,,1253.0
2017,number,non-sexual harassment,18 to under 21 years,,,,,1340.0
2018,number,non-sexual harassment,18 to under 21 years,,,,,1462.0
2019,number,non-sexual harassment,18 to under 21 years,,,,,1279.0
2020,number,non-sexual harassment,18 to under 21 years,,,,,1385.0
2021,number,non-sexual harassment,18 to under 21 years,,,,,1393.0
2022,number,non-sexual harassment,18 to under 21 years,,,,,1321.0
2023,number,non-sexual harassment,18 to under 21 years,,,,,1421.0
2024,number,non-sexual harassment,18 to under 21 years,,,,,1593.0
2025,number,non-sexual harassment,18 to under 21 years,,,,,1643.0
2010,number,non-sexual harassment,18 to under 21 years,female,,,,2185.0
2011,number,non-sexual harassment,18 to under 21 years,female,,,,1946.0
2012,number,non-sexual harassment,18 to under 21 years,female,,,,1804.0
2013,number,non-sexual harassment,18 to under 21 years,female,,,,1586.0
2014,number,non-sexual harassment,18 to under 21 years,female,,,,1477.0
2015,number,non-sexual harassment,18 to under 21 years,female,,,,1265.0
2016,number,non-sexual harassment,18 to under 21 years,female,,,,1136.0
2017,number,non-sexual harassment,18 to under 21 years,female,,,,1214.0
2018,number,non-sexual harassment,18 to under 21 years,female,,,,1298.0
2019,number,non-sexual harassment,18 to under 21 years,female,,,,1149.0
2020,number,non-sexual harassment,18 to under 21 years,female,,,,1252.0
2021,number,non-sexual harassment,18 to under 21 years,female,,,,1226.0
2022,number,non-sexual harassment,18 to under 21 years,female,,,,1174.0
2023,number,non-sexual harassment,18 to under 21 years,female,,,,1223.0
2024,number,non-sexual harassment,18 to under 21 years,female,,,,1388.0
2025,number,non-sexual harassment,18 to under 21 years,female,,,,1434.0
2010,number,non-sexual harassment,18 to under 21 years,male,,,,282.0
2011,number,non-sexual harassment,18 to under 21 years,male,,,,256.0
2012,number,non-sexual harassment,18 to under 21 years,male,,,,232.0
2013,number,non-sexual harassment,18 to under 21 years,male,,,,183.0
2014,number,non-sexual harassment,18 to under 21 years,male,,,,177.0
2015,number,non-sexual harassment,18 to under 21 years,male,,,,137.0
2016,number,non-sexual harassment,18 to under 21 years,male,,,,117.0
2017,number,non-sexual harassment,18 to under 21 years,male,,,,126.0
2018,number,non-sexual harassment,18 to under 21 years,male,,,,164.0
2019,number,non-sexual harassment,18 to under 21 years,male,,,,130.0
2020,number,non-sexual harassment,18 to under 21 years,male,,,,133.0
2021,number,non-sexual harassment,18 to under 21 years,male,,,,167.0
2022,number,non-sexual harassment,18 to under 21 years,male,,,,147.0
2023,number,non-sexual harassment,18 to under 21 years,male,,,,198.0
2024,number,non-sexual harassment,18 to under 21 years,male,,,,205.0
2025,number,non-sexual harassment,18 to under 21 years,male,,,,209.0
2010,number,non-sexual harassment,21 to under 60 years,,,,,23019.0
2011,number,non-sexual harassment,21 to under 60 years,,,,,21536.0
2012,number,non-sexual harassment,21 to under 60 years,,,,,21296.0
2013,number,non-sexual harassment,21 to under 60 years,,,,,20738.0
2014,number,non-sexual harassment,21 to under 60 years,,,,,18814.0
2015,number,non-sexual harassment,21 to under 60 years,,,,,17239.0
2016,number,non-sexual harassment,21 to under 60 years,,,,,16303.0
2017,number,non-sexual harassment,21 to under 60 years,,,,,16060.0
2018,number,non-sexual harassment,21 to under 60 years,,,,,16423.0
2019,number,non-sexual harassment,21 to under 60 years,,,,,16440.0
2020,number,non-sexual harassment,21 to under 60 years,,,,,17193.0
2021,number,non-sexual harassment,21 to under 60 years,,,,,18068.0
2022,number,non-sexual harassment,21 to under 60 years,,,,,18925.0
