Year,Economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,Cultural activities,,,,<u>Time series of the indicator:</u> Employed persons,109369.0
2021,Sports and Recreational activities,,,,<u>Time series of the indicator:</u> Employed persons,306401.0
2022,Sports and Recreational activities,,,,<u>Time series of the indicator:</u> Employed persons,320884.0
2023,Sports and Recreational activities,,,,<u>Time series of the indicator:</u> Employed persons,312225.0
2010,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2011,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2012,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2013,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2014,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2015,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2016,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2017,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2018,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2019,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Employees,
2020,Accommodation for visitors: hotels and similar establishments,,,,<u>Additional time series:</u> Employees,387316.0
2021,Accommodation for visitors: hotels and similar establishments,,,,<u>Additional time series:</u> Employees,412861.0
2022,Accommodation for visitors: hotels and similar establishments,,,,<u>Additional time series:</u> Employees,447744.0
2023,Accommodation for visitors: hotels and similar establishments,,,,<u>Additional time series:</u> Employees,451432.0
2010,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2011,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2012,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2013,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2014,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2015,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2016,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2017,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2018,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2019,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Employees,
2020,Accommodation for visitors: other,,,,<u>Additional time series:</u> Employees,333052.0
2021,Accommodation for visitors: other,,,,<u>Additional time series:</u> Employees,474192.0
2022,Accommodation for visitors: other,,,,<u>Additional time series:</u> Employees,474307.0
2023,Accommodation for visitors: other,,,,<u>Additional time series:</u> Employees,471128.0
2010,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2011,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2012,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2013,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2014,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2015,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2016,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2017,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2018,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2019,Food and beverage serving activities,.,,,<u>Additional time series:</u> Employees,
2020,Food and beverage serving activities,,,,<u>Additional time series:</u> Employees,1147866.0
2021,Food and beverage serving activities,,,,<u>Additional time series:</u> Employees,1281136.0
2022,Food and beverage serving activities,,,,<u>Additional time series:</u> Employees,1338977.0
2023,Food and beverage serving activities,,,,<u>Additional time series:</u> Employees,1363796.0
2022,Railway passenger transport,,,,<u>Additional time series:</u> Employees,25202.0
2023,Railway passenger transport,,,,<u>Additional time series:</u> Employees,25719.0
2010,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2011,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2012,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2013,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2014,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2015,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2016,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2017,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2018,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2019,Road passenger transport,.,,,<u>Additional time series:</u> Employees,
2020,Road passenger transport,,,,<u>Additional time series:</u> Employees,141037.0
2021,Road passenger transport,,,,<u>Additional time series:</u> Employees,164689.0
2022,Road passenger transport,,,,<u>Additional time series:</u> Employees,171881.0
2023,Road passenger transport,,,,<u>Additional time series:</u> Employees,182026.0
2010,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2011,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2012,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2013,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2014,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2015,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2016,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2017,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2018,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2019,Water passenger transport,.,,,<u>Additional time series:</u> Employees,
2020,Water passenger transport,,,,<u>Additional time series:</u> Employees,8137.0
2021,Water passenger transport,,,,<u>Additional time series:</u> Employees,8254.0
2022,Water passenger transport,,,,<u>Additional time series:</u> Employees,8710.0
2023,Water passenger transport,,,,<u>Additional time series:</u> Employees,8480.0
