Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2012,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2013,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2014,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2015,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2016,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2017,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2018,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,208.3
2019,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,168.169
2020,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,98.033
2021,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,99.965
2022,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,173.693
2023,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2024,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2010,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2011,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2012,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2013,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2014,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2015,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2016,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
2017,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
2018,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,208.3
2019,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,168.169
2020,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,98.033
2021,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,99.965
2022,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,173.693
2023,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
2024,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
