Year,Units,type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2014,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,15225
2015,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,14205
2016,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13053
2017,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,12653
2018,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13080
2019,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9607
2020,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8687
2021,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9628
2022,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8771
2023,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,6104
2010,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3461
2011,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3418
2012,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2937
2013,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3158
2014,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2921
2015,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2873
2016,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2627
2017,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2728
2018,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2798
2019,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2130
2020,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2073
2021,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2299
2022,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1886
2023,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1329
2010,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,569664
2011,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,530867
2012,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,420885
2013,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,463638
2014,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,441793
2015,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,407680
2016,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,385002
2017,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,370220
2018,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,395679
2019,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,292504
2020,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,259962
2021,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,284414
2022,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,252864
2023,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,184165
2010,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66424
2011,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63077
2012,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47972
2013,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,56426
2014,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,53325
2015,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51205
2016,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48305
2017,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48406
2018,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51739
2019,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,38537
2020,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,32168
2021,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,35278
2022,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,33261
2023,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,24924
2010,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,94139
2011,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,91468
2012,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,71168
2013,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78925
2014,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77413
2015,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,68534
2016,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66403
2017,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,61698
2018,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,64046
2019,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,43246
2020,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,37771
2021,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,41526
2022,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,36083
2023,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,26021
2010,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66616
2011,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,62435
