Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1170573.278
2020,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1180233.624
2021,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1180386.474
2022,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1208384.404
2023,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1208788.1
2024,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1208788.1
2025,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1208788.1
2010,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,50.008
2011,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,50.302
2012,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.095
2013,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.526
2014,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.715
2015,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.926
2016,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,52.949
2017,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,52.952
2018,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,53.083
2019,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,54.155
2020,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,54.414
2021,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,55.011
2022,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,55.628
2023,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,56.163
2024,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,56.163
2025,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,56.163
2010,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3388945.653
2011,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3408829.04
2012,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3462557.158
2013,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3491794.597
2014,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3504611.786
2015,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3518863.337
2016,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3588241.773
2017,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3588430.598
2018,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3597281.256
2019,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3669969.366
2020,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3687496.249
2021,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3727947.51
2022,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3769758.711
2023,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3806039.394
2024,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3806039.394
2025,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3806039.394
2010,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.222
2011,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.231
2012,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.237
2013,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.261
2014,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.323
2015,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.427
2016,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.43
2017,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.431
2018,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.436
2019,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.452
2020,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.466
2021,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.469
2022,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.469
2023,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.476
2024,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.476
2025,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.476
2010,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1302607.886
2011,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1303214.269
2012,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1303655.823
2013,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1305274.311
2014,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1309446.398
2015,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1316495.9
2016,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1316738.219
2017,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1316820.998
2018,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1317141.707
2019,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1318181.031
2020,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1319153.418
2021,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1319375.771
2022,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1319379.579
2023,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1319822.559
2024,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1319822.559
2025,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1319822.559
