Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2013,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2014,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2015,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2016,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2017,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2018,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,154.328
2019,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,127.103
2020,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,75.393
2021,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,78.947
2022,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,145.982
2023,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2024,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2756.908
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1677.314
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1440.464
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1857.122
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,4153.313
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2498.61
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2934.237
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2372.566
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,3312.599
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1653.515
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1578.581
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1582.815
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,3803.987
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2923.539
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2034.294
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1463.13
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1053.209
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,799.635
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1307.328
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1685.418
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2163.672
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2109.337
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1738.187
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1874.271
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1685.685
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1892.305
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1618.747
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2206.228
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2111.164
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2475.842
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,208.3
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,168.169
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,98.033
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,99.965
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,173.693
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,.,,,0.0
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,.,,,0.0
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,.,,,0.0
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,.,,,0.0
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,.,,,0.0
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,.,,,0.0
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,208.3
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,168.169
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,98.033
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,99.965
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,173.693
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
