Year,Landbedeckungsklasse,Bioklimatischer Gürtel,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,Acker- und Kulturflächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,13.785
2018,Acker- und Kulturflächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,13.803
2021,Acker- und Kulturflächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,13.817
2015,Grünland,Montan,,,,a) Index der Grünbedeckung in Gebirgen,22.947
2018,Grünland,Montan,,,,a) Index der Grünbedeckung in Gebirgen,22.992
2021,Grünland,Montan,,,,a) Index der Grünbedeckung in Gebirgen,23.031
2015,Baumbesetzte Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,55.23
2018,Baumbesetzte Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,55.262
2021,Baumbesetzte Flächen,Montan,,,,a) Index der Grünbedeckung in Gebirgen,55.301
2015,Flächen mit Büschen und Sträuchern,Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.936
2018,Flächen mit Büschen und Sträuchern,Montan,,,,a) Index der Grünbedeckung in Gebirgen,1.021
2021,Flächen mit Büschen und Sträuchern,Montan,,,,a) Index der Grünbedeckung in Gebirgen,1.99
2015,Krautige Vegetation und Feuchtgebiete,Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.213
2018,Krautige Vegetation und Feuchtgebiete,Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.214
2021,Krautige Vegetation und Feuchtgebiete,Montan,,,,a) Index der Grünbedeckung in Gebirgen,0.214
2015,,,,,,b) Degradierte Gebirgsfläche,0.05
2021,,,,,,b) Degradierte Gebirgsfläche,0.03
