Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Hectare,"Mountain regions, covered by protected areas",,,,3597281.256
2019,Hectare,"Mountain regions, covered by protected areas",,,,3669969.366
2020,Hectare,"Mountain regions, covered by protected areas",,,,3687496.249
2021,Hectare,"Mountain regions, covered by protected areas",,,,3727947.51
2022,Hectare,"Mountain regions, covered by protected areas",,,,3769758.711
2023,Hectare,"Mountain regions, covered by protected areas",,,,3806039.394
2024,Hectare,"Mountain regions, covered by protected areas",,,,3806039.394
2025,Hectare,"Mountain regions, covered by protected areas",,,,3806039.394
2010,Percentage,"Mountain regions, covered by effective protected areas",,,,19.222
2011,Percentage,"Mountain regions, covered by effective protected areas",,,,19.231
2012,Percentage,"Mountain regions, covered by effective protected areas",,,,19.237
2013,Percentage,"Mountain regions, covered by effective protected areas",,,,19.261
2014,Percentage,"Mountain regions, covered by effective protected areas",,,,19.323
2015,Percentage,"Mountain regions, covered by effective protected areas",,,,19.427
2016,Percentage,"Mountain regions, covered by effective protected areas",,,,19.43
2017,Percentage,"Mountain regions, covered by effective protected areas",,,,19.431
2018,Percentage,"Mountain regions, covered by effective protected areas",,,,19.436
2019,Percentage,"Mountain regions, covered by effective protected areas",,,,19.452
2020,Percentage,"Mountain regions, covered by effective protected areas",,,,19.466
2021,Percentage,"Mountain regions, covered by effective protected areas",,,,19.469
2022,Percentage,"Mountain regions, covered by effective protected areas",,,,19.469
2023,Percentage,"Mountain regions, covered by effective protected areas",,,,19.476
2024,Percentage,"Mountain regions, covered by effective protected areas",,,,19.476
2025,Percentage,"Mountain regions, covered by effective protected areas",,,,19.476
2010,Hectare,"Mountain regions, covered by effective protected areas",,,,1302607.886
2011,Hectare,"Mountain regions, covered by effective protected areas",,,,1303214.269
2012,Hectare,"Mountain regions, covered by effective protected areas",,,,1303655.823
2013,Hectare,"Mountain regions, covered by effective protected areas",,,,1305274.311
2014,Hectare,"Mountain regions, covered by effective protected areas",,,,1309446.398
2015,Hectare,"Mountain regions, covered by effective protected areas",,,,1316495.9
2016,Hectare,"Mountain regions, covered by effective protected areas",,,,1316738.219
2017,Hectare,"Mountain regions, covered by effective protected areas",,,,1316820.998
2018,Hectare,"Mountain regions, covered by effective protected areas",,,,1317141.707
2019,Hectare,"Mountain regions, covered by effective protected areas",,,,1318181.031
2020,Hectare,"Mountain regions, covered by effective protected areas",,,,1319153.418
2021,Hectare,"Mountain regions, covered by effective protected areas",,,,1319375.771
2022,Hectare,"Mountain regions, covered by effective protected areas",,,,1319379.579
2023,Hectare,"Mountain regions, covered by effective protected areas",,,,1319822.559
2024,Hectare,"Mountain regions, covered by effective protected areas",,,,1319822.559
2025,Hectare,"Mountain regions, covered by effective protected areas",,,,1319822.559
