Year,Type of ICT competence,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,Installing software or apps,25 to under 65 years,.,,,
2015,Installing software or apps,25 to under 65 years,,,,63.0
2016,Installing software or apps,25 to under 65 years,,,,66.0
2017,Installing software or apps,25 to under 65 years,,,,65.0
2018,Installing software or apps,25 to under 65 years,.,,,
2019,Installing software or apps,25 to under 65 years,,,,72.0
2020,Installing software or apps,25 to under 65 years,.,,,
2021,Installing software or apps,25 to under 65 years,|,,,45.9
2022,Installing software or apps,25 to under 65 years,.,,,
2023,Installing software or apps,25 to under 65 years,,,,55.3
2024,Installing software or apps,25 to under 65 years,.,,,
2025,Installing software or apps,25 to under 65 years,,,,56.8
2010,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2011,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,,,,32.0
2012,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,,,,30.0
2013,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2014,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,,,,33.0
2015,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2016,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2017,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2018,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2019,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2020,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2021,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,23.8
2022,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2023,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,27.2
2024,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,.,,,
2025,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",25 to under 65 years,,,,28.3
2010,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,.,,,
