Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.119
2017,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.157
2018,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.985
2019,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.963
2020,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.904
2021,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.919
2022,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.074
2023,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,|,,,0.951
2024,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.062
2010,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.042
2011,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.085
2012,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,|,,,0.047
2013,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.058
2014,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.066
2015,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.028
2016,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.042
2017,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.01
2018,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.034
2019,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.054
2020,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.056
2021,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.056
2022,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.039
2023,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,|,,,0.031
2024,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.029
2010,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2011,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2012,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2013,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2014,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2015,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2016,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2017,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2018,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2019,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2020,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2021,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2022,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2023,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2024,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2010,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.434
2011,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.496
2012,Je 100 000 Einwohner/-innen,Weiblich,,,|,,,1.434
2013,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.291
2014,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.298
2015,Je 100 000 Einwohner/-innen,Weiblich,,,,,,0.984
2016,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.15
2017,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.217
2018,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.004
2019,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.008
2020,Je 100 000 Einwohner/-innen,Weiblich,,,,,,0.947
2021,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.09
2022,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.705
2023,Je 100 000 Einwohner/-innen,Weiblich,,,|,,,1.075
2024,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.121
2010,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.12
2011,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.104
2012,Je 100 000 Einwohner/-innen,Männlich,,,|,,,0.06
2013,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.178
